Article Title,Publication Type,Authors,Source Title,Keywords used,Area of study,Study location,Objective,Methodology,Process,Study object,Publication Year,Volume,Issue,Start Page,End Page,DOI,UT (Unique WOS ID)
"Litterfall, litter decomposition and nitrogen mineralization in old-growth evergreen and secondary deciduous Nothofagus forests in south-central Chile",J,"Staelens, J; Ameloot, N; Almonacid, L; Padilla, E; Boeckx, P; Huygens, D; Verheyen, K; Oyarzun, C; Godoy, R",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Ecosystem functioning and services,Andes of Los Rios Region,studyof nutrient dynamics was done in four Valdivian rainforests,Field experiment,Decomposition,Nothofagus,2011,84,1,125,141,10.4067/S0716-078X2011000100010,WOS:000290651700010
Seasonal and annual throughfall and stemflow in Andean temperate rainforests,J,"Oyarzun, CE; Godoy, R; Staelens, J; Donoso, PJ; Verhoest, NEC",HYDROLOGICAL PROCESSES,Close area,Ecosystem functioning and services,Andes of Los Rios Region,"Relationships between partitioning of gross rainfall into throughfall, stemflow, and interception loss and forest structure",Field survey,Rainfall partitioning,Native forest,2011,25,4,623,633,10.1002/hyp.7850,WOS:000287377200009
SEASONAL INDUCTION OF CLUSTER ROOTS IN Embothrium coccineum JR Forst. & G. Forst. IN THE FIELD: FACTORS THAT REGULATE THEIR DEVELOPMENT,J,"Donoso-Nanculao, G; Castro, M; Navarrete, D; Bravo, LA; Corcuera, LJ",CHILEAN JOURNAL OF AGRICULTURAL RESEARCH,Close area,Ecosystem functioning and services,Adjacent to AANP," effect  of  seasonality,  soil  type and weeds presence in the development of cluster  roots of E. coccineum",Transplant experiment,Growth,Embothrium,2010,70,4,559,566,,WOS:000285155300005
The topographic imprint of a transient climate episode: the western Andean flank between 15.5 degrees and 41.5 degrees S,J,"Rehak, K; Bookhagen, B; Strecker, MR; Echtler, HP",EARTH SURFACE PROCESSES AND LANDFORMS,Close area,Hydrology,More than 5 regions,"Investigate the relationship between tectonics, climate, and topography  along  the  western  Andean  watersheds  between  15·5°  and  41·5°S",Modeling,Topography,Basins,2010,35,13,1516,1534,10.1002/esp.1992,WOS:000283570500002
"Geochemical evidence (C, N and Pb isotopes) of recent anthropogenic impact in south-central Chile from two environmentally distinct lake sediment records",J,"Fagel, N; Bertrand, S; Mattielli, N; Gilson, D; Chirinos, L; Lepoint, G; Urrutia, R",JOURNAL OF QUATERNARY SCIENCE,Close area,Hydrology,Adjacent to PNP,identify  environmental  impacts  associated  with  increasing  industrial  activities  and  landdegradation during the last 150 years,Isotopes,Sedimentation,Lakes,2010,25,7,1100,1112,10.1002/jqs.1364,WOS:000283697100006
"Bulk organic geochemistry of sediments from Puyehue Lake and its watershed (Chile, 40 degrees S): Implications for paleoenvironmental reconstructions",J,"Bertrand, S; Sterken, M; Vargas-Ramirez, L; De Batist, M; Vyverman, W; Lepoint, G; Fagel, N",PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,Close area,Hydrology,Adjacent to PNP,composition of the sedimentary organic matter preserved in the lake and its watershed,Field collection,Sedimentation,Lakes,2010,294,1-2,56,71,10.1016/j.palaeo.2009.03.012,WOS:000281464800006
"From the Holocene to the Anthropocene: A historical framework for land cover change in southwestern South America in the past 15,000 years",J,"Armesto, JJ; Manuschevich, D; Mora, A; Smith-Ramirez, C; Rozzi, R; Abarzua, AM; Marquet, PA",LAND USE POLICY,Close area,Ecosystem functioning and services,More than 5 regions,identifying the main climatic and socio-economic drivers of land cover change,Review of literature,LULC,Native vegetation,2010,27,2,148,160,10.1016/j.landusepol.2009.07.006,WOS:000273110500007
"Water availability reconstructions using tree-rings in the Valdivian rainforest ecoregion, Chile",S,"Urrutia, R; Lara, A; Pena, MP; Christie, DA",PAGES 1ST YOUNG SCIENTISTS MEETING (YSM) - RETROSPECTIVE VIEWS ON OUR PLANET'S FUTURE,Close area,Climate,More than 5 regions, comparison  of  two  water  availability  reconstructions within the Valdivian rainforest ecoregion,dendrochronology,Climate,Native forest,2010,9,,,,10.1088/1755-1315/9/1/012006,WOS:000327134700006
Photochemical efficiency of PSII and photoprotective pigments in seedlings and adults of two Proteaceae with different shade tolerance from the Chilean temperate rain forest,J,"Alberdi, M; Reyes-Diaz, M; Zuniga, R; Hess, S; Bravo, LA; Corcuera, LJ",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Ecosystem functioning and services,Adjacent to AANP,Seasonal variation in the energy quenching parameters of photosystems  in  seedlings  and  adults  of  shadetolerant and intolerant species of Proteaceae,Field collection,Growth,Proteaceae,2009,82,3,387,402,10.4067/S0716-078X2009000300006,WOS:000271335500006
Vertical distribution of Hymenophyllaceae species among host tree microhabitats in a temperate rain forest in Southern Chile,J,"Parra, MJ; Acuna, K; Corcuera, LJ; Saldana, A",JOURNAL OF VEGETATION SCIENCE,Close area,Ecosystem functioning and services,Adjacent to AANP,Vertical distribution of Hymenophyllaceae species among host treemicrohabitats,Field survey,Distribution,Ferns,2009,20,4,588,595,10.1111/j.1654-1103.2009.01078.x,WOS:000267755000002
"Ecological consequences of a massive flowering event of bamboo (Chusquea culeou) in a temperate forest of Patagonia, Argentina",J,"Marchesini, VA; Sala, OE; Austin, AT",JOURNAL OF VEGETATION SCIENCE,Close area,Ecosystem functioning and services,"Neuquen, Argentina","Consequence of themassive flowering and senescence of the dominant unders-tory species of bamboo,Chusquea culeou",Field survey,Flowering,Chusquea,2009,20,3,424,432,10.1111/j.1654-1103.2009.05768.x,WOS:000266244100005
"Variability of metazoan parasite communities in the rock cod Eleginops maclovinus (Cuvier & Valenciennes, 1830) (Pisces: Elelginopidae) off Chile",J,"George-Nascimento, M; Mellado, A; Saavedra, S; Carvajal, J",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Freshwater biodiversity,3 regions,"Compared the abundance, richness and composition of parasite infracommunities  in  the  rock  cod  Eleginops  maclovinus",Field collection,Parasitation,Fishes,2009,82,2,199,207,10.4067/S0716-078X2009000200003,WOS:000268550000003
ENVIRONMENTAL FACTORS AFFECT THE SPATIAL ARRANGEMENT OF SURVIVAL AND DAMAGE OF OUTPLANTED Nothofagus dombeyi SEEDLINGS IN THE CHILEAN ANDES,J,"Soto, DP; Donoso, PJ; Uteau, D; Zuniga-Feest, A",INTERCIENCIA,Close area,Ecosystem functioning and services,Andes of Los Rios Region,ENVIRONMENTAL  FACTORS  AFFECT  THE  SPATIAL ARRANGEMENT  OF  SURVIVAL  AND  DAMAGE OF  OUTPLANTED Nothofagus ,Seedling experiment,Survival,Nothofagus,2009,34,2,100,105,,WOS:000265262000004
Biogeography of Chilean herpetofauna: distributional patterns of species richness and endemism,J,"Vidal, MA; Soto, ER; Veloso, A",AMPHIBIA-REPTILIA,Close area,Biogeography,Chile,Geographic distribution pattern of herpetofauna,Review of literature,Distribution,Herpetofauna,2009,30,2,151,171,10.1163/156853809788201108,WOS:000267594200001
Early individual growth of Eucryphia cordifolia and Laurelia sempervirens planted under different competition conditions in south-central Chile,J,"Uteau, D; Donoso, PJ",CIENCIA E INVESTIGACION AGRARIA,Close area,Ecosystem functioning and services,Andes of Los Rios Region,"define the factors that explain the growth of Euctyphia cordifolia Cav. and Laurelia sempervirens (Ruiz et Pavón) Tul., two midtolerant species",Field collection,Growth,Native forest,2009,36,1,85,95,,WOS:000265273500008
"NEW RECORDS OF HATCHERIA MACRAEI (SILURIFORMES, TRICHOMYCTERIDAE) FROM CHILEAN PROVINCE",J,"Unmack, PJ; Habit, EM; Johnson, JB",GAYANA,Close area,Freshwater biodiversity,More than 5 regions,describe collections of Hatcheria macraei (Patagonian catfish),Electric fishing,Distribution,Fishes,2009,73,1,102,110,,WOS:000268083400013
Comparative phylogeography of codistributed species of Chilean Liolaemus (Squamata : Tropiduridae) from the central-southern Andean range,J,"Victoriano, PF; Ortiz, JC; Benavides, E; Adams, BJ; Sites, JW",MOLECULAR ECOLOGY,Close area,Biogeography,More than 5 regions,Comparative phylogeography of codistributed species of Chilean Liolaemus,Reconstruction of mtDNA,Distribution,Liolaemus,2008,17,10,2397,2416,10.1111/j.1365-294X.2008.03741.x,WOS:000255464800007
"Effects of forest type and stand structure on coarse woody debris in old-growth rainforests in the Valdivian Andes, south-central Chile",J,"Schlegel, BC; Donoso, PJ",FOREST ECOLOGY AND MANAGEMENT,Close area,Ecosystem functioning and services,Andes of Los Rios Region,CWD in the Coigüe–Raulí–Tepa forest type,Field collection,Decomposition,Native forest,2008,255,5-6,1906,1914,10.1016/j.foreco.2007.12.013,WOS:000254597700059
"Nature, origin, transport and deposition of andosol parent material in south-central Chile (36-42 degrees S)",J,"Bertrand, S; Fagel, N",CATENA,Close area,Ecosystem functioning and services,Adjacent to PNP,"nature, origin, mode of transport and deposition of the andosol parent material",Field collection,Sedimentation,Lakes,2008,73,1,10,22,10.1016/j.catena.2007.08.003,WOS:000254829300002
Nitrogen exports at multiple-scales in a southern Chilean watershed (Patagonian Lakes district),J,"Little, C; Soto, D; Lara, A; Cuevas, JG",BIOGEOCHEMISTRY,Close area,Ecosystem functioning and services,Andes of Los Rios Region,determine the magnitude and composition of the N export in this gradient and to document changes in the DIN:DON ratio,Field collection,Eutrophication,watershed,2008,87,3,297,309,10.1007/s10533-008-9185-8,WOS:000254360400006
"A 17,900-year multi-proxy lacustrine record of Lago Puyehue (Chilean Lake District): introduction",J,"De Batist, M; Fagel, N; Loutre, MF; Chapron, E",JOURNAL OF PALEOLIMNOLOGY,Close area,Climate,Adjacent to PNP,First multi-disciplinary  investigation  of  the  sedimentaryrecord of the paleolimnological and paleoclimatolog-ical  change,Field collection,Sedimentation,Lakes,2008,39,2,151,161,10.1007/s10933-007-9113-2,WOS:000252419600001
Seismic stratigraphy of Lago Puyehue (Chilean Lake District): new views on its deglacial and Holocene evolution,J,"Charlet, F; De Batist, M; Chapron, E; Bertrand, S; Pino, M; Urrutia, R",JOURNAL OF PALEOLIMNOLOGY,Close area,Seismiology,Adjacent to PNP,First reflection  seismic  data  from  Lago  Puyehue,Field collection,Sedimentation,Lakes,2008,39,2,163,177,10.1007/s10933-007-9112-3,WOS:000252419600002
Differential effects of emergent Nothofagus dombeyi on growth and basal area of canopy species in an old-growth temperate rainforest,J,"Donoso, PJ; Lusk, CH",JOURNAL OF VEGETATION SCIENCE,Close area,Ecosystem functioning and services,Andes of Los Rios Region,quantifies the competitive effect of varied densities of one species on yield of another species sown at a constant density,Field survey,Growth,Nothofagus,2007,18,5,675,684,10.1111/j.1654-1103.2007.tb02581.x,WOS:000248293400007
Trophic ecology of the wild boar (Sus scrofa) in Chile,J,"Skewes, O; Rodriguez, R; Jaksic, FM",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Exotic species,VPRNP,document the diet of wild boar in south-central Chile,Field collection,Feeding,Wild boar,2007,80,3,295,307,,WOS:000249505700004
Seasonal changes in the photosynthetic performance of two evergreen Nothofagus species in south central Chile,J,"Zuniga, R; Alberdi, M; Reyes-Diaz, M; Olivares, E; Hess, S; Bravo, LA; Corcuera, LJ",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Ecosystem functioning and services,Adjacent to AANP,different properties of the photosynthetic apparatus undercommon garden conditions of these species could explain their contrasting habitat preferences,Field experiment,Growth,Nothofagus,2006,79,4,489,504,,WOS:000243414200008
"Low temperature responses of Nothofagus dombeyi and Nothofagus nitida, two evergreen species from south central Chile",J,"Reyes-Diaz, M; Alberdi, M; Piper, F; Bravo, LA; Corcuera, LJ",TREE PHYSIOLOGY,Close area,Ecosystem functioning and services,Adjacent to AANP,cold acclimation responses of adults and seedlings of N. dombeyi and N. nitida grown in a common garden,Field experiment,Growth,Nothofagus,2005,25,11,1389,1398,10.1093/treephys/25.11.1389,WOS:000233212800005
A vulnerability analysis of the temperate forests of south central Chile,J,"Wilson, K; Newton, A; Echeverria, C; Weston, C; Burgman, M",BIOLOGICAL CONSERVATION,Close area,Ecosystem functioning and services,2 regions,describe an assessment of the relative vulnerability of remaining areas of native forest to conversion to plantations,Multivariate model,Vulnerability,Native forest,2005,122,1,9,21,10.1016/j.biocon.2004.06.015,WOS:000225522100002
Leaf area and growth of juvenile temperate evergreens in low light: species of contrasting shade tolerance change rank during ontogeny,J,"Lusk, CH",FUNCTIONAL ECOLOGY,Close area,Ecosystem functioning and services,PNP," show how an onto-genetic perspective can enhance understanding of  thelinkages among morphology, growth and survivalofjuvenile trees in the shade. ",Field survey,Growth,Evergreen trees,2004,18,6,820,828,10.1111/j.0269-8463.2004.00897.x,WOS:000225617200008
Nothofagus regeneration dynamics in south-central Chile: A test of a general model,J,"Pollmann, W; Veblen, TT",ECOLOGICAL MONOGRAPHS,Close area,Ecosystem functioning and services,PNP,Test the model of Nothofagus regeneration dymanic for an entire landscape  encompassing  a  continuous  gradient ,Field survey,Regeneration,Nothofagus,2004,74,4,615,634,10.1890/04-0004,WOS:000225176500004
Vertical distribution of fine root biomass of emergent Nothofagus dombeyi and its canopy associates in a Chilean temperate rainforest,J,"Moreno-Chacon, M; Lusk, CH",FOREST ECOLOGY AND MANAGEMENT,Close area,Ecosystem functioning and services,PNP,,Field survey,Growth,Nothofagus,2004,199,2-3,177,181,10.1016/j.foreco.2004.03.046,WOS:000224197100001
"Paleodistribution of the alerce and cypres of the Guaitecas during the interstadial stages of the Llanquihue glaciation: Llanquihue and Chiloe provinces, Los Lagos Region, Chile.",J,"Villagran, C; Leon, A; Roig, FA",REVISTA GEOLOGICA DE CHILE,Close area,Paleoecology,Adjacent to AANP, contribute with new paleobotanical knowledge of the Seno de Reloncaví ,Stratigraphy,Past distribution,Native forest,2004,31,1,133,151,,WOS:000223088700008
Vertical structure and basal area development in second-growth Nothofagus stands in Chile,J,"Lusk, CH; Ortega, A",JOURNAL OF APPLIED ECOLOGY,Close area,Ecosystem functioning and services,4 regions,"the effect of vertical struc-ture on basal area accumulation in naturally regener-ated, unthinned second-growth Nothofagusstands inmesic environments in south-central Chile.",Field survey,Growth,Nothofagus,2003,40,4,639,645,10.1046/j.1365-2664.2003.00827.x,WOS:000184109200004
Global weapons' fallout Cs-137 in soils and transfer to vegetation in south-central Chile,J,"Schuller, P; Voigt, G; Handl, J; Ellies, A; Oliva, L",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,Close area,Environmental conditions,Andes of Los Rios Region,The study presented here summarizes and completes results of the long-term 137Cs contamination due to global weapons’ testing and its behaviour in undisturbed soils of these regions in the south–central part of Chile.,Field collection,Pollution,Soil,2002,62,2,181,193,10.1016/S0265-931X(01)00160-6,WOS:000177014900005
Conservation strategies for biodiversity and indigenous people in Chilean forest ecosystems,J,"Armesto, JJ; Smith-Ramirez, C; Rozzi, R",JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,Close area,Social-ecological,More than 5 regions,"Rview  the strategies  for conservation  and  management  of the  temperate  forests  of  southern  Chile  with regard  to the nature  of  conflicts  involving  policy  and  local  communities,  particularly  indigenous  people.",Review of literature,Conservation,People,2001,31,4,865,877,10.1080/03014223.2001.9517681,WOS:000173391000012
Morphological and architectural features of young Nothofagus pumilio (Poepp. & Endl.) Krasser (Fagaceae),J,"Puntieri, J; Raffaele, E; Martinez, P; Barthelemy, D; Brion, C",BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,Close area,Ecosystem functioning and services,Adjacent to VPRNP,Morphology and architecture of young Nothofagus pumilio plants  growing as understorey and in a  cleared area were assessed.,Field survey,Growth,Nothofagus,1999,130,4,395,410,10.1006/bojl.1998.0244,WOS:000082262700002
Indigenous ethnobotany of Chilean forests: classification system of a multiple-use resource,J,"Villagran, C",REVISTA CHILENA DE HISTORIA NATURAL,Close area,Social-ecological,More than 5 regions,"Review the strategies forconservation and management of the temperate forests of southern Chile with regard to thenature of conflicts involving policy and local communities, particularly indigenous people",Review of literature,Conservation,People,1998,71,3,245,268,,WOS:000076741500001
"Impacts of introduced large herbivores on Austrocedrus chilensis forests in northern Patagonia, Argentina",J,"Relva, MA; Veblen, TT",FOREST ECOLOGY AND MANAGEMENT,Close area,Ecosystem functioning and services,Adjacent to VPRNP,evaluate the browsing impactof a range of large herbivores on the regeneration ofAustrocedrusand  the  composition  and  structure  ofthe understory vegetation,Field survey,Regeneration,Austrocedrus,1998,108,1-2,27,40,10.1016/S0378-1127(97)00313-7,WOS:000075010300003
Recent trends in tree-ring records from high elevation sites in the Andes of northern Patagonia,J,"Villalba, R; Boninsegna, JA; Veblen, TT; Schmelter, A; Rubulis, S",CLIMATIC CHANGE,Close area,Climate,Adjacent to VPRNP,reconstruction of duration of snow cover and mean annual temperature fluctuations,dendrochronology,Past climate change,Nothofagus,1997,36,3-4,425,454,10.1023/A:1005366317996,WOS:A1997XR06700011
Reproductive patterns of Gigartina skottsbergii (rhodophyta) in soutern Chile,J,"Westermeier, R; Sigel, J",PHYCOLOGIA,Close area,,,,,,,1997,36,4,123,123,,WOS:000202958000469
Impact of Douglas-fir plantations on vegetation and soil in south-central Chile,J,"Frank, D; Finckh, M",REVISTA CHILENA DE HISTORIA NATURAL,Close area,,,,,,,1997,70,2,191,211,,WOS:A1997XQ86200003
Pollen analysis of honeys from the Los Lagos region of southern Chile,J,"Horn, H; Aira, MJ",GRANA,Close area,Ecosystem functioning and services,Los Lagos Region,analyzes  the  pollen  content  of  93  honeysfrom  the Los Lagos Region in order to contribute to a betterunderstanding  of their qualities.,Field collection,Composition,Pollen,1997,36,3,160,168,10.1080/00173139709362603,WOS:A1997YG50700004
"Notes on the power mechanisms of colonial-border society, resistance and transculturation of the Reche-Mapuche of south-central Chile (16th-18th-centuries)",J,"Boccara, G",REVISTA DE INDIAS,Close area,,,,,,,1996,56,208,659,695,10.3989/revindias.1996.i208.803,WOS:A1996WQ55800003
"AN OVERVIEW OF THE RESEARCH FINDINGS AND CULTURAL IMPLICATIONS OF THE LATE PLEISTOCENE SITE OF MONTE-VERDE, CHILE",J,"DILLEHAY, TH",ANTHROPOLOGIE,Close area,,,,,,,1994,98,1,128,148,,WOS:A1994QE96300007
DEVELOPMENT OF THE COIHUE-ULMO FOREST ON VOLCANIC DROSS IN SOUTH-CENTRAL CHILE,J,"SANMARTIN, J; CONTRERAS, D; SANMARTIN, C",ARCHIVOS DE BIOLOGIA Y MEDICINA EXPERIMENTALES,Close area,Ecosystem functioning and services,Adjacent to PNP,Forest regeneration on volcanic dross,Field survey,Regeneration,Native forest,1988,21,2,R331,R331,,WOS:A1988R048700209
LIGHT INTENSITIES AND ENERGY CONTENT OF PLANT-COMMUNITIES IN THE ANDES OF SOUTH CENTRAL CHILE,J,"ALBERDI, M; WENZEL, H; RIVEROS, M; ROMERO, M",TURRIALBA,Close area,,,,,,,1988,38,4,323,331,,WOS:A1988AE23100012
TRANSPIRATION REGULATION FACTORS IN SOME FORESTRY SPECIES OF SOUTH-CENTRAL CHILE,J,"HUBER, AW",ARCHIVOS DE BIOLOGIA Y MEDICINA EXPERIMENTALES,Close area,,,,,,,1985,18,2,R139,R139,,WOS:A1985AVC7500149
FOREST DYNAMICS IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT; DONOSO, C; SCHLEGEL, FM; ESCOBAR, B",JOURNAL OF BIOGEOGRAPHY,Close area,Ecosystem functioning and services,Andes of Los Rios Region,Analysis of forest structure and dynamics of native forest in the Andes and coastal cordillera of south-central Chile,Field survey,Community ensemble,Native forest,1981,8,3,211,247,10.2307/2844678,WOS:A1981LL83700003
DRY-MATTER PRODUCTION OF 2 SPECIES OF BAMBOO (CHUSQUEA-CULEOU AND CHUSQUEA-TENUIFLORA) IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT; SCHLEGEL, FM; ESCOBAR, B",JOURNAL OF ECOLOGY,Close area,Ecosystem functioning and services,2 regions," study of biomass and dry-matter production of two bamboo species, Chusquea culeou Desv. and C. tenuiflora Phil., in south-central Chile.",Field survey,Growth,Chusquea,1980,68,2,397,404,10.2307/2259412,WOS:A1980KF49500003
STRUCTURE AND DYNAMICS OF NOTHOFAGUS FORESTS NEAR TIMBERLINE IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT",ECOLOGY,Close area,Ecosystem functioning and services,PNP,"the interpretation of the dynamics of these near-timberline, pure Nothofagus forests.",Field survey,Regeneration,Nothofagus,1979,60,5,937,945,,WOS:A1979JE21800010
SUCCESSIONAL PATTERN ABOVE TIMBERLINE IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT; ASHTON, DH",VEGETATIO,Close area,Ecosystem functioning and services,PNP,the elucidation through pattem analysis of some of the species interactions and species microtopography interactions associated with these vegetational and micro- topographic forms of the alpine zone of south-central Chile. ,Field survey,Succession,Native vegetation,1979,40,1,39,47,10.1007/BF00052013,WOS:A1979HW83900004
PLANT SUCCESSION IN A TIMBERLINE DEPRESSED BY VULCANISM IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT; ASHTON, DH; SCHLEGEL, FM; VEBLEN, AT",JOURNAL OF BIOGEOGRAPHY,Close area,Ecosystem functioning and services,PNP,altitudinal vegetation zones are related climatic change and also  the dynamic nature of this zonation,Field survey,Succession,Native forest,1977,4,3,275,294,10.2307/3038061,WOS:A1977DY06800006
DISTRIBUTION AND DOMINANCE OF SPECIES IN UNDERSTOREY OF A MIXED EVERGREEN-DECIDUOUS NOTHOFAGUS FOREST IN SOUTH-CENTRAL CHILE,J,"VEBLEN, TT; ASHTON, DH; SCHLEGEL, FM; VEBLEN, AT",JOURNAL OF ECOLOGY,Close area,Ecosystem functioning and services,PNP,studied to determine the influence of the tree dominants on the distribution and dominance of plants in the understory,Field survey,Community ensemble,Native forest,1977,65,3,815,830,10.2307/2259380,WOS:A1977EA87700005
